Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC,PR_AUC,RMSE,Log_Loss
Before Temperature Scaling,0.9392265193370166,0.984375,0.863013698630137,0.9197080291970803,0.9902333840690005,0.9848120632144268,0.2275325545006508,0.17372074723243713
After Temperature Scaling,0.9392265193370166,0.984375,0.863013698630137,0.9197080291970803,0.9902333840690005,0.9848120632144268,0.22948083342986528,0.17678964124835356
