Temperature,Log_Loss
0.1,0.6354285322853002
0.11,0.6061038378848129
0.12,0.5819608434028605
0.13,0.5617980782689941
0.13999999999999999,0.538721763428162
0.14999999999999997,0.5186065827485018
0.15999999999999998,0.5012084275695926
0.16999999999999998,0.48604389595795944
0.17999999999999997,0.47273710795291535
0.18999999999999995,0.46099138145461815
0.19999999999999996,0.45051137384310636
0.20999999999999996,0.43695980074069574
0.21999999999999995,0.4247701559732714
0.22999999999999995,0.41376211625833426
0.23999999999999994,0.40157072885583067
0.24999999999999992,0.38900599266933916
0.2599999999999999,0.37750837656684
0.2699999999999999,0.3669571212023313
0.2799999999999999,0.357248755576197
0.2899999999999999,0.3482941216326455
0.29999999999999993,0.3400159941650337
0.30999999999999994,0.33234715995848624
0.3199999999999999,0.32522885601344564
0.32999999999999985,0.3186094925326964
0.33999999999999986,0.3124435992409345
0.34999999999999987,0.30669095316173306
0.3599999999999999,0.30131585049042464
0.3699999999999999,0.2962864963216374
0.3799999999999999,0.29157449002262226
0.3899999999999999,0.2871543880927846
0.3999999999999998,0.283003335563949
0.4099999999999998,0.27910074923738604
0.4199999999999998,0.27542804634635815
0.4299999999999998,0.2719684108908073
0.43999999999999984,0.26870659141394587
0.44999999999999984,0.2656287261531231
0.45999999999999985,0.26272219070862685
0.46999999999999986,0.25997546525462617
0.47999999999999976,0.25737801814258127
0.48999999999999977,0.2549202042298283
0.4999999999999998,0.25259317487502936
0.5099999999999998,0.2503887988077933
0.5199999999999998,0.2482995921979162
0.5299999999999998,0.24631865660148974
0.5399999999999998,0.24443962297493055
0.5499999999999998,0.2426566038966194
0.5599999999999997,0.24096414889472725
0.5699999999999997,0.23935720531789084
0.5799999999999997,0.2378310836948898
0.5899999999999997,0.23638142582777782
0.5999999999999998,0.23500417648286917
0.6099999999999998,0.233695558124374
0.6199999999999998,0.23245204783454318
0.6299999999999997,0.23127035655306732
0.6399999999999997,0.23014741015570056
0.6499999999999997,0.22908033287635668
0.6599999999999997,0.22806643077506614
0.6699999999999997,0.22710317846893027
0.6799999999999997,0.22618820613730556
0.6899999999999997,0.22531928810244883
0.6999999999999996,0.22449433186137038
0.7099999999999996,0.22371136862763683
0.7199999999999996,0.2229685442312963
0.7299999999999996,0.22226411088449247
0.7399999999999997,0.22159641985450562
0.7499999999999997,0.22096391462902162
0.7599999999999997,0.22036512464180602
0.7699999999999997,0.21979865901530643
0.7799999999999997,0.2192632019061433
0.7899999999999996,0.21875750721947462
0.7999999999999996,0.2182803942751714
0.8099999999999996,0.21783074288085058
0.8199999999999996,0.2174074901907509
0.8299999999999996,0.2170096270831832
0.8399999999999996,0.2166361946347898
0.8499999999999996,0.21628628091909405
0.8599999999999995,0.21595901848382823
