epoch,accuracy,learning_rate,loss,pr_auc,precision,recall,roc_auc,val_accuracy,val_loss,val_pr_auc,val_precision,val_recall,val_roc_auc
0,0.7898486256599426,0.0010000000474974513,0.5594767332077026,0.8059378862380981,0.7017892599105835,0.8041002154350281,0.8729019165039062,0.7673130035400391,0.4185694754123688,0.9195249080657959,0.9305555820465088,0.45890411734580994,0.9528194069862366
1,0.8967052698135376,0.0010000000474974513,0.3012813627719879,0.923170804977417,0.8371607661247253,0.9134396314620972,0.9574408531188965,0.7811634540557861,0.3589743971824646,0.9454167485237122,0.9350649118423462,0.4931506812572479,0.9707072377204895
2,0.9136242270469666,0.0010000000474974513,0.25519728660583496,0.9550173282623291,0.8607594966888428,0.9293849468231201,0.971298098564148,0.9584487676620483,0.26162922382354736,0.9632894992828369,0.9455782175064087,0.9520547986030579,0.9807422757148743
3,0.9269812703132629,0.0010000000474974513,0.22194117307662964,0.9679052233695984,0.8888888955116272,0.9293849468231201,0.9796570539474487,0.9196676015853882,0.2551302909851074,0.9644609689712524,0.8588957190513611,0.9589040875434875,0.9778113961219788
4,0.925200343132019,0.0010000000474974513,0.2162947654724121,0.9664916396141052,0.8784648180007935,0.9384965896606445,0.9802881479263306,0.9030470848083496,0.2415882796049118,0.9781026840209961,0.8171428442001343,0.9794520735740662,0.9870181679725647
5,0.9403383731842041,0.0010000000474974513,0.18682438135147095,0.9777066111564636,0.8991416096687317,0.9544419050216675,0.9861760139465332,0.81717449426651,0.28923043608665466,0.9724745154380798,0.9651162624359131,0.568493127822876,0.9864447116851807
6,0.9269812703132629,0.0010000000474974513,0.21103763580322266,0.9698909521102905,0.8957871198654175,0.9202733635902405,0.9811373949050903,0.9556786417961121,0.2126217782497406,0.9815661907196045,0.9577465057373047,0.931506872177124,0.9900128245353699
7,0.9456812143325806,0.0010000000474974513,0.17775042355060577,0.9809855222702026,0.9200000166893005,0.9430524110794067,0.9876064658164978,0.8975069522857666,0.25464168190956116,0.9684174060821533,0.8187134265899658,0.9589040875434875,0.9787511825561523
8,0.9439002871513367,0.0010000000474974513,0.167915478348732,0.9751932621002197,0.908695638179779,0.9521639943122864,0.9887170791625977,0.9529085755348206,0.19557344913482666,0.9720224142074585,0.9215686321258545,0.965753436088562,0.9846606850624084
9,0.9554764032363892,0.0010000000474974513,0.153398796916008,0.9861080646514893,0.9256017208099365,0.9635535478591919,0.9914313554763794,0.8421052694320679,0.2858341634273529,0.9735242128372192,0.9684210419654846,0.6301369667053223,0.9857279062271118
10,0.9545859098434448,0.0010000000474974513,0.15275247395038605,0.9864695072174072,0.9292035102844238,0.9567198157310486,0.9915477633476257,0.9556786417961121,0.19587303698062897,0.9826458692550659,0.9513888955116272,0.9383561611175537,0.98985356092453
11,0.9697239398956299,0.00020000000949949026,0.12336333841085434,0.9914042949676514,0.9411764740943909,0.984054684638977,0.9948713779449463,0.9612188339233398,0.1747765988111496,0.9820276498794556,0.9459459185600281,0.9589040875434875,0.9886588454246521
12,0.9723953604698181,0.00020000000949949026,0.11074014753103256,0.9940521717071533,0.9493392109870911,0.981776773929596,0.9964083433151245,0.9529085755348206,0.18766465783119202,0.9824233055114746,0.9448275566101074,0.9383561611175537,0.9881969094276428
13,0.9732858538627625,0.00020000000949949026,0.10621123760938644,0.9957175850868225,0.951434850692749,0.981776773929596,0.9972907900810242,0.9529085755348206,0.19547533988952637,0.9832903146743774,0.9510489702224731,0.931506872177124,0.9888659119606018
14,0.9732858538627625,4.0000002627493814e-05,0.1086338683962822,0.9954361915588379,0.951434850692749,0.981776773929596,0.9970327615737915,0.950138509273529,0.2003440260887146,0.9822021126747131,0.9571428298950195,0.9178082346916199,0.9887702465057373
