epoch,accuracy,learning_rate,loss,pr_auc,precision,recall,roc_auc,val_accuracy,val_loss,val_pr_auc,val_precision,val_recall,val_roc_auc
15,0.9278717637062073,9.999999747378752e-06,0.21614421904087067,0.9575059413909912,0.8698347210884094,0.9589977264404297,0.9763833284378052,0.761772871017456,0.5095652937889099,0.8155667185783386,0.6530612111091614,0.8767123222351074,0.8813316822052002
16,0.9198575019836426,9.999999747378752e-06,0.22211074829101562,0.9589256048202515,0.8568507432937622,0.9544419050216675,0.9752295017242432,0.7673130035400391,0.5020434856414795,0.8197169899940491,0.6581632494926453,0.8835616707801819,0.8843581080436707
17,0.9154051542282104,9.999999747378752e-06,0.2193228304386139,0.9553985595703125,0.845381498336792,0.9589977264404297,0.9748314619064331,0.7673130035400391,0.4977400004863739,0.8228434324264526,0.6581632494926453,0.8835616707801819,0.8860783576965332
18,0.9198575019836426,9.999999747378752e-06,0.21839547157287598,0.9627090692520142,0.8597938418388367,0.9498860836029053,0.9766647815704346,0.7673130035400391,0.4985472857952118,0.8245409727096558,0.6565656661987305,0.8904109597206116,0.8877030611038208
19,0.925200343132019,9.999999747378752e-06,0.20682115852832794,0.9625130295753479,0.860040545463562,0.965831458568573,0.9791341423988342,0.7645429372787476,0.4918535351753235,0.8257654309272766,0.656410276889801,0.8767123222351074,0.8884676694869995
20,0.9376669526100159,9.999999747378752e-06,0.19465014338493347,0.9607071280479431,0.8773006200790405,0.9772209525108337,0.9799917936325073,0.7673130035400391,0.48545777797698975,0.8301926851272583,0.6597937941551208,0.8767123222351074,0.8906338214874268
21,0.9323241114616394,9.999999747378752e-06,0.19259557127952576,0.9668009281158447,0.872689962387085,0.9681093096733093,0.9822196960449219,0.7728531956672668,0.4836301803588867,0.8320053219795227,0.6649484634399414,0.8835616707801819,0.8921630382537842
22,0.9314336776733398,9.999999747378752e-06,0.19579647481441498,0.9627705216407776,0.8770833611488342,0.9589977264404297,0.9801182150840759,0.7783933281898499,0.4642702639102936,0.833562970161438,0.6736842393875122,0.8767123222351074,0.8938197493553162
23,0.9234194159507751,9.999999747378752e-06,0.20504021644592285,0.9616945385932922,0.8624230027198792,0.9567198157310486,0.9786762595176697,0.7783933281898499,0.46694478392601013,0.8356748223304749,0.671875,0.8835616707801819,0.8957470655441284
24,0.9341050982475281,9.999999747378752e-06,0.18052545189857483,0.9758907556533813,0.8842105269432068,0.9567198157310486,0.9853085279464722,0.7811634540557861,0.46608927845954895,0.8390785455703735,0.6735751032829285,0.8904109597206116,0.898040771484375
25,0.9376669526100159,1.9999999949504854e-06,0.18149235844612122,0.9784402847290039,0.8851774334907532,0.965831458568573,0.9863109588623047,0.7811634540557861,0.4671799838542938,0.8398370146751404,0.6735751032829285,0.8904109597206116,0.8982478380203247
26,0.9296526908874512,1.9999999949504854e-06,0.18967999517917633,0.9746457934379578,0.8719007968902588,0.9612756371498108,0.9837416410446167,0.7783933281898499,0.46823644638061523,0.8377140760421753,0.6701030731201172,0.8904109597206116,0.8975310325622559
27,0.9278717637062073,4.0000000467443897e-07,0.18514853715896606,0.972309947013855,0.8698347210884094,0.9589977264404297,0.9834168553352356,0.7783933281898499,0.4680306911468506,0.8377383351325989,0.6701030731201172,0.8904109597206116,0.8975151181221008
28,0.9367765188217163,4.0000000467443897e-07,0.18204401433467865,0.9746169447898865,0.8849372267723083,0.9635535478591919,0.9849055409431458,0.7811634540557861,0.46744370460510254,0.838495671749115,0.6735751032829285,0.8904109597206116,0.8978815078735352
29,0.9430097937583923,1.0000000116860974e-07,0.17503857612609863,0.9747753143310547,0.893081784248352,0.9703872203826904,0.9855482578277588,0.7811634540557861,0.46752607822418213,0.8383834958076477,0.6735751032829285,0.8904109597206116,0.8978018760681152
