Model,Threshold,Accuracy,Precision_Fall,Recall_Fall,Specificity_No_Fall,F1_Score_Fall,Negative_Predictive_Value,Balanced_Accuracy,ROC_AUC,PR_AUC,Binary_Crossentropy,True_Negative,False_Positive,False_Negative,True_Positive
Custom CNN,0.5,0.5844875346260388,0.4878048780487805,0.547945205479452,0.6093023255813953,0.5161290322580645,0.6649746192893401,0.5786237655304236,0.5913029627269831,0.47411535858202636,0.678800642490387,131,84,66,80
MobileNetV3,0.5,0.7811634349030471,0.6735751295336787,0.8904109589041096,0.7069767441860465,0.7669616519174042,0.9047619047619048,0.7986938515450781,0.8981204205160879,0.840137244232279,0.44696569442749023,152,63,16,130
ResNet50,0.5,0.9279778393351801,0.9761904761904762,0.8424657534246576,0.986046511627907,0.9044117647058824,0.902127659574468,0.9142561325262824,0.9901242433896145,0.9851365916961428,0.19348321855068207,212,3,23,123
