Model,Accuracy_Baseline,Precision_Fall_Baseline,Recall_Fall_Baseline,Specificity_No_Fall_Baseline,F1_Score_Fall_Baseline,Balanced_Accuracy_Baseline,ROC_AUC_Baseline,PR_AUC_Baseline,Accuracy_Tuned,Precision_Fall_Tuned,Recall_Fall_Tuned,Specificity_No_Fall_Tuned,F1_Score_Fall_Tuned,Balanced_Accuracy_Tuned,ROC_AUC_Tuned,PR_AUC_Tuned,Accuracy_Change,Precision_Fall_Change,Recall_Fall_Change,Specificity_No_Fall_Change,F1_Score_Fall_Change,Balanced_Accuracy_Change,ROC_AUC_Change,PR_AUC_Change
Custom CNN,0.5706371191135734,0.3846153846153846,0.1027397260273972,0.8883720930232558,0.1621621621621621,0.4955559095253265,0.4714877349474355,0.3815681141110905,0.5844875346260388,0.4878048780487805,0.547945205479452,0.6093023255813953,0.5161290322580645,0.5786237655304236,0.5913029627269831,0.4741153585820263,0.013850415512465353,0.1031894934333959,0.4452054794520548,-0.2790697674418605,0.35396687009590244,0.08306785600509708,0.11981522777954762,0.09254724447093582
MobileNetV3,0.6980609418282548,0.5876777251184834,0.8493150684931506,0.5953488372093023,0.6946778711484594,0.7223319528512264,0.809079324625677,0.7165473921690534,0.7811634349030471,0.6735751295336787,0.8904109589041096,0.7069767441860465,0.7669616519174042,0.7986938515450781,0.8981204205160879,0.840137244232279,0.08310249307479223,0.08589740441519533,0.04109589041095896,0.11162790697674418,0.07228378076894482,0.07636189869385168,0.08904109589041087,0.12358985206322559
ResNet50,0.8808864265927978,0.7845303867403315,0.9726027397260274,0.8186046511627907,0.8685015290519877,0.8956036954444091,0.9770309015610068,0.9658767440522036,0.92797783933518,0.9761904761904762,0.8424657534246576,0.986046511627907,0.9044117647058824,0.9142561325262824,0.9901242433896144,0.9851365916961428,0.047091412742382155,0.19166008945014468,-0.13013698630136983,0.16744186046511633,0.03591023565389462,0.018652437081873252,0.013093341828607552,0.019259847643939176
