Model,Threshold,Accuracy,Precision_Fall,Recall_Fall,Specificity_No_Fall,F1_Score_Fall,Negative_Predictive_Value,Balanced_Accuracy,ROC_AUC,PR_AUC,Binary_Crossentropy,True_Negative,False_Positive,False_Negative,True_Positive,Total_Prediction_Time_Seconds,Average_Time_Per_Image_Milliseconds,Images_Per_Second,Model_Size_MB
Custom CNN,0.5,0.5706371191135734,0.38461538461538464,0.10273972602739725,0.8883720930232558,0.16216216216216217,0.593167701863354,0.4955559095253265,0.4714877349474355,0.3815681141110905,0.6883174777030945,191,24,131,15,2.4585121999989497,6.810283102490165,146.836773883064,4.928471565246582
MobileNetV3,0.5,0.6980609418282548,0.5876777251184834,0.8493150684931506,0.5953488372093023,0.6946778711484594,0.8533333333333334,0.7223319528512264,0.809079324625677,0.7165473921690534,0.6164937019348145,128,87,22,124,2.5171464000013657,6.972704709145058,143.41637021978704,4.150707244873047
ResNet50,0.5,0.8808864265927978,0.7845303867403315,0.9726027397260274,0.8186046511627907,0.8685015290519877,0.9777777777777777,0.8956036954444091,0.9770309015610067,0.9658767440522035,0.24692398309707642,176,39,4,142,12.259035800001584,33.95854792244206,29.44766667538024,90.65243339538574
